time,open,high,low,close,tick_volume,spread,real_volume
2017-02-13 11:00:00,11726.0,11739.1,11722.1,11733.6,1519,100,0
2017-02-13 12:00:00,11733.1,11766.6,11732.1,11766.6,2369,100,0
2017-02-13 13:00:00,11766.4,11780.1,11762.6,11772.1,2754,100,0
2017-02-13 14:00:00,11772.6,11798.9,11770.6,11793.1,2698,100,0
2017-02-13 15:00:00,11793.6,11813.3,11789.1,11794.1,3522,100,0
2017-02-13 16:00:00,11794.6,11807.1,11781.6,11795.1,3291,100,0
2017-02-13 17:00:00,11795.1,11795.6,11772.1,11776.6,2942,100,0
2017-02-13 18:00:00,11776.6,11788.1,11776.1,11787.6,1252,100,0
2017-02-13 19:00:00,11787.8,11805.1,11787.1,11794.6,1277,100,0
2017-02-13 20:00:00,11794.6,11798.1,11785.6,11785.6,1062,100,0
2017-02-13 21:00:00,11785.1,11789.1,11772.6,11778.3,1345,100,0
2017-02-14 08:00:00,11766.98,11783.23,11760.48,11775.23,2139,100,0
2017-02-14 09:00:00,11774.98,11781.97,11754.22,11774.22,4144,100,0
2017-02-14 10:00:00,11773.97,11779.72,11761.46,11775.71,2886,100,0
2017-02-14 11:00:00,11775.46,11785.96,11762.96,11782.46,2216,100,0
2017-02-14 12:00:00,11782.71,11787.46,11765.45,11781.45,1986,100,0
2017-02-14 13:00:00,11781.7,11783.2,11765.94,11771.69,1678,100,0
2017-02-14 14:00:00,11771.44,11780.44,11759.44,11767.19,2132,100,0
2017-02-14 15:00:00,11767.44,11769.93,11757.43,11768.43,2765,100,0
2017-02-14 16:00:00,11768.93,11780.17,11751.92,11774.92,4351,100,0
2017-02-14 17:00:00,11774.42,11779.17,11759.67,11769.67,3133,100,0
2017-02-14 18:00:00,11769.42,11792.41,11767.41,11789.91,1475,100,0
2017-02-14 19:00:00,11789.41,11796.91,11787.41,11794.9,1230,100,0
2017-02-14 20:00:00,11794.4,11801.15,11784.4,11786.4,993,100,0
2017-02-14 21:00:00,11786.9,11804.39,11786.9,11796.89,1195,100,0
2017-02-15 08:00:00,11811.82,11836.82,11811.82,11836.32,1653,100,0
2017-02-15 09:00:00,11837.32,11849.31,11815.31,11841.81,3842,100,0
2017-02-15 10:00:00,11841.81,11843.31,11816.3,11819.3,2778,100,0
2017-02-15 11:00:00,11819.8,11823.3,11789.8,11795.8,2446,100,0
2017-02-15 12:00:00,11795.3,11806.29,11792.79,11797.79,1835,100,0
2017-02-15 13:00:00,11797.54,11803.29,11778.79,11780.53,1986,100,0
2017-02-15 14:00:00,11780.28,11791.78,11737.28,11744.03,3211,100,0
2017-02-15 15:00:00,11743.78,11778.27,11722.77,11770.27,4458,100,0
2017-02-15 16:00:00,11769.77,11807.26,11760.27,11800.26,3936,100,0
2017-02-15 17:00:00,11800.26,11807.26,11771.76,11776.76,3822,100,0
2017-02-15 18:00:00,11776.76,11787.75,11767.26,11784.25,1824,100,0
2017-02-15 19:00:00,11784.25,11796.99,11778.25,11790.24,1551,100,0
2017-02-15 20:00:00,11790.74,11796.74,11784.74,11788.99,1366,100,0
2017-02-15 21:00:00,11788.74,11797.23,11786.74,11793.73,1183,100,0
2017-02-16 08:00:00,11785.16,11793.16,11774.66,11777.66,1227,100,0
2017-02-16 09:00:00,11777.91,11814.65,11765.65,11767.65,4418,100,0
2017-02-16 10:00:00,11768.15,11778.64,11753.15,11777.64,2970,100,0
2017-02-16 11:00:00,11777.14,11777.64,11756.64,11771.39,1911,100,0
2017-02-16 12:00:00,11771.14,11779.14,11749.13,11755.63,2005,100,0
2017-02-16 13:00:00,11756.13,11768.88,11752.62,11759.12,2239,100,0
2017-02-16 14:00:00,11759.62,11771.12,11746.62,11768.37,2072,100,0
2017-02-16 15:00:00,11768.12,11771.62,11740.11,11747.61,3647,100,0
2017-02-16 16:00:00,11748.36,11769.61,11731.61,11745.6,5126,100,0
2017-02-16 17:00:00,11745.6,11765.6,11727.6,11764.6,4807,100,0
2017-02-16 18:00:00,11765.1,11770.59,11753.6,11763.09,1543,100,0
2017-02-16 19:00:00,11763.09,11766.59,11757.09,11761.58,1904,100,0
2017-02-16 20:00:00,11761.83,11765.08,11755.33,11762.58,1393,100,0
2017-02-16 21:00:00,11763.08,11777.07,11761.08,11774.57,1373,100,0
2017-02-17 08:00:00,11752.5,11761.75,11746.5,11756.0,1389,100,0
2017-02-17 09:00:00,11756.25,11774.5,11731.49,11739.74,4352,100,0
2017-02-17 10:00:00,11739.99,11742.24,11691.98,11715.48,4030,100,0
2017-02-17 11:00:00,11716.23,11716.98,11693.23,11710.73,3352,100,0
2017-02-17 12:00:00,11710.98,11756.97,11699.97,11726.97,3336,100,0
2017-02-17 13:00:00,11727.72,11740.22,11702.47,11712.96,4131,100,0
2017-02-17 14:00:00,11712.71,11713.96,11695.96,11705.21,2988,100,0
2017-02-17 15:00:00,11704.96,11737.45,11699.95,11734.45,4404,100,0
2017-02-17 16:00:00,11733.95,11749.94,11726.95,11739.94,4277,100,0
2017-02-17 17:00:00,11739.94,11758.44,11728.94,11754.44,3648,100,0
2017-02-17 18:00:00,11754.19,11771.93,11751.44,11770.93,1406,100,0
2017-02-17 19:00:00,11770.93,11775.93,11764.43,11772.42,1057,100,0
2017-02-17 20:00:00,11772.42,11794.92,11769.92,11787.92,1158,100,0
2017-02-17 21:00:00,11787.42,11798.91,11784.91,11789.41,1462,100,0
2017-02-20 08:00:00,11821.72,11859.22,11818.22,11828.72,2367,100,0
2017-02-20 09:00:00,11829.72,11842.22,11814.22,11829.72,3908,100,0
2017-02-20 10:00:00,11829.22,11839.72,11810.71,11823.21,2309,100,0
2017-02-20 11:00:00,11822.71,11829.71,11820.21,11822.71,1401,100,0
2017-02-20 12:00:00,11822.71,11822.71,11813.71,11816.21,1169,100,0
2017-02-20 13:00:00,11816.71,11821.7,11802.95,11819.7,1480,100,0
2017-02-20 14:00:00,11819.95,11825.7,11816.7,11824.2,1080,100,0
2017-02-20 15:00:00,11824.45,11831.2,11814.95,11819.7,1326,100,0
2017-02-20 16:00:00,11819.95,11832.19,11817.2,11828.19,1046,100,0
2017-02-20 17:00:00,11827.94,11835.19,11823.69,11829.19,1125,100,0
2017-02-20 18:00:00,11829.19,11831.69,11823.69,11826.69,543,100,0
2017-02-20 19:00:00,11826.69,11830.68,11825.68,11830.68,151,100,0
2017-02-20 20:00:00,11830.43,11830.68,11825.18,11825.68,153,100,0
2017-02-20 21:00:00,11825.43,11830.68,11823.67,11824.17,324,100,0
2017-02-21 08:00:00,11824.89,11829.89,11810.64,11811.14,1328,100,0
2017-02-21 09:00:00,11811.64,11867.63,11796.64,11846.63,4166,100,0
2017-02-21 10:00:00,11847.13,11889.13,11846.63,11877.88,3068,100,0
2017-02-21 11:00:00,11877.63,11887.88,11867.13,11883.13,1573,100,0
2017-02-21 12:00:00,11882.63,11891.13,11879.62,11884.12,1611,100,0
2017-02-21 13:00:00,11883.62,11903.12,11882.62,11894.62,2248,100,0
2017-02-21 14:00:00,11895.12,11896.37,11884.87,11894.87,1669,100,0
2017-02-21 15:00:00,11894.62,11954.11,11892.12,11946.61,4141,100,0
2017-02-21 16:00:00,11946.61,11988.61,11943.11,11982.61,4162,100,0
2017-02-21 17:00:00,11982.61,11984.61,11959.11,11968.36,3533,100,0
2017-02-21 18:00:00,11968.11,11977.6,11968.11,11971.85,1358,100,0
2017-02-21 19:00:00,11972.1,11976.6,11965.6,11968.35,1036,100,0
2017-02-21 20:00:00,11968.1,11978.35,11967.1,11975.59,966,100,0
2017-02-21 21:00:00,11975.09,11996.59,11974.09,11992.59,1358,100,0
