time,open,high,low,close,tick_volume,spread,real_volume
2013-03-22 00:00:00,936.1,936.1,936.1,936.1,1,0,0
2013-03-25 00:00:00,935.4,935.4,935.4,935.4,1,0,0
2013-03-26 00:00:00,939.1,939.1,939.1,939.1,1,0,0
2013-03-27 00:00:00,939.3,939.3,939.3,939.3,1,0,0
2013-03-28 00:00:00,939.4,940.9,939.4,940.9,16,0,0
2013-04-01 00:00:00,927.1,927.1,927.1,927.1,1,0,0
2013-04-02 00:00:00,924.1,924.1,924.1,924.1,1,0,0
2013-04-03 00:00:00,908.4,908.4,908.4,908.4,1,0,0
2013-04-04 00:00:00,914.7,914.7,914.7,914.7,1,0,0
2013-04-05 00:00:00,911.7,911.7,911.7,911.7,1,0,0
2013-04-08 00:00:00,922.6,922.6,922.6,922.6,1,0,0
2013-04-09 00:00:00,918.2,918.2,918.2,918.2,1,0,0
2013-04-10 00:00:00,935.5,935.5,935.5,935.5,1,0,0
2013-04-11 00:00:00,937.4,937.4,937.4,937.4,1,0,0
2013-04-12 00:00:00,931.1,931.1,931.1,931.1,1,0,0
2013-04-15 00:00:00,891.3,891.3,891.3,891.3,1,0,0
2013-04-16 00:00:00,912.8,912.8,912.8,912.8,1,0,0
2013-04-17 00:00:00,896.2,896.2,896.2,896.2,1,0,0
2013-04-18 00:00:00,889.4,889.4,889.4,889.4,1,0,0
2013-04-19 00:00:00,899.4,899.4,899.4,899.4,1,0,0
2013-04-23 00:00:00,919.3,919.3,919.3,919.3,1,0,0
2013-04-24 00:00:00,922.8,922.8,922.8,922.8,1,0,0
2013-04-26 00:00:00,924.6,924.6,924.6,924.6,1,0,0
2013-04-29 00:00:00,880.0,880.0,880.0,880.0,1,0,0
2013-05-02 00:00:00,928.5,928.5,928.5,928.5,1,0,0
2013-05-03 00:00:00,943.4,943.4,943.4,943.4,1,0,0
2013-05-06 00:00:00,950.0,950.0,950.0,950.0,1,0,0
2013-05-08 00:00:00,961.1,961.1,961.1,961.1,1,0,0
2013-05-09 00:00:00,957.9,957.9,957.9,957.9,1,0,0
2013-05-10 00:00:00,965.4,965.5,965.4,965.5,2,0,0
2013-05-13 00:00:00,964.4,964.4,964.4,964.4,1,0,0
2013-05-14 00:00:00,976.7,976.7,976.7,976.7,1,0,0
2013-05-15 00:00:00,978.4,978.4,978.4,978.4,1,0,0
2013-05-16 00:00:00,976.4,976.4,976.4,976.4,1,0,0
2013-05-17 00:00:00,986.3,986.3,986.3,986.3,1,0,0
2013-05-20 00:00:00,988.6,988.6,988.6,988.6,1,0,0
2013-05-23 00:00:00,989.3,989.3,989.3,989.3,1,0,0
2013-05-24 00:00:00,976.4,977.1,976.4,977.1,8,0,0
2013-05-28 00:00:00,986.0,986.0,986.0,986.0,1,0,0
2013-05-29 00:00:00,979.9,979.9,979.9,979.9,1,0,0
2013-05-30 00:00:00,985.4,985.4,985.4,985.4,1,0,0
2013-05-31 00:00:00,973.7,975.5,973.7,975.5,19,0,0
2013-06-03 00:00:00,981.9,981.9,981.9,981.9,1,0,0
2013-06-04 00:00:00,974.8,974.8,974.8,974.8,1,0,0
2013-06-05 00:00:00,960.8,960.8,960.8,960.8,1,0,0
2013-06-06 00:00:00,972.4,972.4,972.4,972.4,1,0,0
2013-06-07 00:00:00,975.7,975.7,975.7,975.7,1,0,0
2013-06-11 00:00:00,995.0,995.0,995.0,995.0,1,0,0
2013-06-12 00:00:00,962.2,962.2,962.2,962.2,1,0,0
