time,open,high,low,close,tick_volume,spread,real_volume
2017-04-03 00:00:00,2362.01,2366.89,2360.52,2365.65,1451,0,0
2017-04-03 12:00:00,2365.4,2365.4,2343.43,2357.94,7394,0,0
2017-04-04 00:00:00,2358.74,2358.99,2350.48,2352.49,1922,0,0
2017-04-04 12:00:00,2352.99,2362.28,2348.25,2361.78,5511,0,0
2017-04-05 00:00:00,2363.32,2363.32,2356.07,2358.83,1324,0,0
2017-04-05 12:00:00,2359.33,2378.59,2347.08,2348.58,8440,0,0
2017-04-06 00:00:00,2349.08,2351.09,2341.35,2349.12,2658,0,0
2017-04-06 12:00:00,2349.62,2364.65,2348.39,2358.41,7677,0,0
2017-04-07 00:00:00,2358.42,2359.93,2340.18,2352.96,5326,0,0
2017-04-07 12:00:00,2352.71,2364.24,2348.97,2356.11,7460,0,0
2017-04-10 00:00:00,2355.54,2362.55,2354.29,2354.33,1458,0,0
2017-04-10 12:00:00,2354.33,2366.85,2351.1,2357.03,5409,0,0
2017-04-11 00:00:00,2357.28,2359.29,2350.8,2355.08,1953,0,0
2017-04-11 12:00:00,2354.83,2356.83,2336.6,2354.87,9400,0,0
2017-04-12 00:00:00,2354.62,2359.91,2348.88,2354.41,1603,0,0
2017-04-12 12:00:00,2354.91,2355.17,2340.94,2342.7,7431,0,0
2017-04-13 00:00:00,2342.46,2347.49,2337.97,2338.5,2083,0,0
2017-04-13 12:00:00,2338.25,2348.52,2327.29,2330.79,7370,0,0
2017-04-14 00:00:00,2330.8,2331.08,2330.8,2330.84,14,0,0
2017-04-14 12:00:00,2331.09,2331.13,2330.84,2330.88,15,0,0
2017-04-17 00:00:00,2328.81,2330.81,2326.32,2328.85,1144,0,0
2017-04-17 12:00:00,2328.6,2349.88,2328.35,2348.89,4288,0,0
2017-04-18 00:00:00,2348.64,2350.9,2338.44,2339.19,1353,0,0
2017-04-18 12:00:00,2339.69,2348.45,2334.21,2341.98,7223,0,0
2017-04-19 00:00:00,2341.73,2349.02,2340.23,2348.27,1327,0,0
2017-04-19 12:00:00,2348.77,2353.29,2335.31,2336.56,5536,0,0
2017-04-20 00:00:00,2337.32,2345.61,2336.57,2344.36,1779,0,0
2017-04-20 12:00:00,2344.11,2362.39,2341.37,2356.15,5850,0,0
2017-04-21 00:00:00,2356.4,2360.18,2355.67,2357.95,1581,0,0
2017-04-21 12:00:00,2358.45,2359.95,2344.97,2349.24,5427,0,0
2017-04-24 00:00:00,2370.41,2379.2,2369.68,2377.71,3847,0,0
2017-04-24 12:00:00,2378.21,2381.21,2370.23,2374.23,4994,0,0
2017-04-25 00:00:00,2373.73,2379.01,2371.99,2376.52,1640,0,0
2017-04-25 12:00:00,2376.53,2393.31,2376.53,2387.56,4175,0,0
2017-04-26 00:00:00,2387.07,2390.61,2386.32,2390.11,1174,0,0
2017-04-26 12:00:00,2389.86,2398.88,2385.65,2385.65,7026,0,0
2017-04-27 00:00:00,2385.41,2389.19,2385.41,2386.45,1586,0,0
2017-04-27 12:00:00,2386.95,2392.97,2382.72,2391.49,4965,0,0
2017-04-28 00:00:00,2390.24,2392.54,2387.53,2392.29,1187,0,0
2017-04-28 12:00:00,2392.79,2393.04,2382.57,2384.83,4242,0,0
2017-05-01 00:00:00,2385.25,2389.28,2381.75,2388.55,893,0,0
2017-05-01 12:00:00,2389.3,2395.33,2385.31,2391.34,3774,0,0
2017-05-02 00:00:00,2390.59,2392.35,2388.87,2390.88,1067,0,0
2017-05-02 12:00:00,2391.38,2393.4,2386.4,2389.17,3163,0,0
2017-05-03 00:00:00,2388.43,2389.93,2385.96,2386.47,665,0,0
2017-05-03 12:00:00,2386.22,2390.76,2380.24,2387.01,4612,0,0
2017-05-04 00:00:00,2386.51,2395.05,2386.01,2394.31,1082,0,0
2017-05-04 12:00:00,2394.81,2395.81,2380.83,2391.1,5142,0,0
2017-05-05 00:00:00,2390.85,2391.36,2383.87,2390.31,1363,0,0
2017-05-05 12:00:00,2390.06,2403.1,2389.08,2402.85,4169,0,0
2017-05-08 00:00:00,2406.78,2408.03,2395.94,2397.45,1926,0,0
2017-05-08 12:00:00,2397.95,2401.47,2393.47,2398.49,2900,0,0
2017-05-09 00:00:00,2398.0,2400.29,2396.76,2399.79,961,0,0
2017-05-09 12:00:00,2400.29,2404.06,2392.33,2396.33,3172,0,0
2017-05-10 00:00:00,2394.31,2395.06,2390.32,2392.11,2573,0,0
2017-05-10 12:00:00,2392.38,2399.89,2391.36,2397.4,5372,50,0
2017-05-11 00:00:00,2396.9,2397.41,2393.19,2393.69,1512,50,0
2017-05-11 12:00:00,2393.44,2395.72,2380.96,2392.48,5694,50,0
2017-05-12 00:00:00,2392.94,2393.69,2386.48,2387.48,2189,50,0
2017-05-12 12:00:00,2387.23,2393.74,2386.48,2391.02,4875,50,0
2017-05-15 00:00:00,2391.45,2396.67,2390.2,2391.68,1986,50,0
2017-05-15 12:00:00,2391.93,2404.45,2391.43,2402.22,3553,50,0
2017-05-16 00:00:00,2401.24,2401.97,2398.01,2399.29,1601,50,0
2017-05-16 12:00:00,2399.29,2406.3,2395.56,2399.33,4886,50,0
2017-05-17 00:00:00,2398.33,2398.33,2381.09,2385.45,4311,50,0
2017-05-17 12:00:00,2385.7,2390.2,2355.98,2357.73,14813,50,0
2017-05-18 00:00:00,2356.74,2368.23,2345.74,2346.49,5793,50,0
2017-05-18 12:00:00,2346.74,2376.02,2346.74,2364.78,18131,50,0
2017-05-19 00:00:00,2365.04,2372.79,2362.3,2370.54,2757,50,0
2017-05-19 12:00:00,2370.29,2389.32,2368.79,2383.58,7277,50,0
2017-05-22 00:00:00,2383.51,2386.54,2379.8,2381.8,2438,50,0
